Unnamed: 0,x1,x2,y1,y2
1.jpg,[],[],[],[]
2.jpg,[],[],[],[]
3.jpg,[],[],[],[]
4.jpg,[],[],[],[]
5.jpg,[],[],[],[]
6.jpg,[],[],[],[]
7.jpg,[],[],[],[]
8.jpg,[],[],[],[]
9.jpg,[],[],[],[]
10.jpg,[],[],[],[]
11.jpg,[],[],[],[]
12.jpg,[],[],[],[]
13.jpg,[],[],[],[]
14.jpg,[],[],[],[]
15.jpg,[],[],[],[]
16.jpg,[],[],[],[]
17.jpg,[],[],[],[]
18.jpg,[],[],[],[]
19.jpg,[],[],[],[]
20.jpg,[],[],[],[]
21.jpg,[],[],[],[]
22.jpg,[],[],[],[]
23.jpg,[],[],[],[]
24.jpg,[],[],[],[]
25.jpg,[],[],[],[]
26.jpg,[],[],[],[]
27.jpg,[],[],[],[]
28.jpg,[],[],[],[]
29.jpg,[],[],[],[]
30.jpg,[],[],[],[]
31.jpg,[],[],[],[]
32.jpg,[],[],[],[]
33.jpg,[],[],[],[]
34.jpg,[],[],[],[]
35.jpg,[],[],[],[]
36.jpg,[],[],[],[]
37.jpg,[],[],[],[]
38.jpg,[],[],[],[]
39.jpg,[1603.8468017578125],[1622.0394287109375],[614.5739135742188],[631.6206665039062]
40.jpg,[1595.2679443359375],[1614.2940673828125],[613.9146118164062],[631.520751953125]
41.jpg,[1588.259765625],[1606.32275390625],[614.4324340820312],[631.5408325195312]
42.jpg,[1581.2720947265625],[1598.9403076171875],[614.3218383789062],[631.06005859375]
43.jpg,[],[],[],[]
44.jpg,[1567.77978515625],[1584.459228515625],[614.29248046875],[630.2607421875]
45.jpg,[1561.320556640625],[1577.90771484375],[613.6981811523438],[630.103515625]
46.jpg,[1555.8043212890625],[1573.0902099609375],[613.399658203125],[630.0855102539062]
47.jpg,[],[],[],[]
48.jpg,[1545.8602294921875],[1561.46484375],[613.7742919921875],[629.28955078125]
49.jpg,[1540.0321044921875],[1556.6104736328125],[613.341796875],[629.5094604492188]
